year,month,ppt,tmean,tmax,tmin,tdmean,vpdmax,vpdmin,Q,PET
1997,8,0.673600021,21.02245102,28.82194977,13.22454996,3.354250059,30.49064999,8.047499943,0.568064516,188.0257735
1997,9,54.25489931,18.28795094,25.26895008,11.30829997,5.882300019,21.67135019,3.55795002,1.274666667,127.6927102
1997,10,13.26100006,11.5104506,19.08885012,3.933250028,-2.523149988,16.81189985,3.585100031,3.241935484,91.94728154
1997,11,60.57370005,8.090500498,14.73849993,1.443600013,-3.741950053,12.34885011,2.736949992,8.653333333,53.43288697
1997,12,85.09995041,2.922600159,8.067049956,-2.220950001,-8.826800036,7.47670002,1.842300004,25.51612903,30.3318214
1998,1,99.66235008,4.983400226,10.82055006,-0.853099995,-3.645299999,8.478600001,1.467599994,44.9483871,39.80882915
1998,2,382.038501,2.455850156,7.497599959,-2.585049991,-2.394050022,5.062249994,0.314749999,820.25,24.68935343
1998,3,135.1014,5.160550261,10.90275002,-0.580949998,-3.109199995,8.531449914,1.157500008,319.1612903,62.43763709
1998,4,60.07700033,5.768050265,11.98105001,-0.443900008,-3.508799989,9.997649956,1.948950005,323.9333333,85.36670834
1998,5,100.5783507,8.315750432,14.34224992,2.290849991,0.078350009,9.533650017,1.863699991,456.0645161,102.1666765
1998,6,2.092000007,14.08430057,21.57684984,6.592850089,1.674450004,18.59294996,4.270350051,80.36666667,160.7637185
1998,7,4.767000026,21.36385088,29.56165009,13.16690011,4.475200039,31.31919994,7.193949986,20.77419355,214.2950968
1998,8,16.97260017,22.19685116,30.06464968,14.3305501,5.947300065,31.53075027,7.033299994,9.106451613,193.2299781
1998,9,34.97414985,15.86160064,23.04685011,8.677299976,4.308600008,18.47355018,4.002399969,9.05,123.2791965
1998,10,1.880750013,10.63320045,17.73535004,3.532549984,-3.76610002,14.91100001,3.919950032,8.725806452,85.42220344
1998,11,29.22229996,7.761950326,15.0079,0.516800016,-5.415700012,12.68390007,2.622349977,13.03333333,57.71165103
1998,12,9.596350026,4.516300225,11.06555004,-2.032000028,-9.820399952,10.37530003,2.239599991,13.5483871,42.40725829
1999,1,43.8784503,5.979100358,12.85459995,-0.895450013,-8.845649934,11.75544991,2.997600019,13.09677419,49.73428618
1999,2,24.61710014,5.270050251,12.41945009,-1.878599994,-7.120799959,10.61269984,2.176200008,17,58.41309134
1999,3,13.698,5.325250268,12.31244998,-1.66115002,-5.603300023,10.27325001,1.474199998,12.96774194,81.47478603
1999,4,68.93524971,5.35680027,11.76670003,-1.052399996,-4.801449996,10.95475006,1.91789999,30.56666667,85.37437105
1999,5,11.37575009,11.82740059,19.73339987,3.923199999,-0.55899999,17.0398499,3.42724998,12.48387097,154.2210654
1999,6,13.98035014,16.07900076,23.9243001,8.234700036,-0.597549987,24.27439995,6.798149991,5.87,175.9202989
1999,7,41.16070025,20.34285078,27.5190999,13.16824989,3.943649989,25.84795008,5.809299994,1.618709677,183.9423279
